window_id,percentile,rank,policy_id,policy_name,semantic_score,theta
34,top20%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top20%,7,c6739e51,reind_c673,0.8457,-5.0
34,top20%,8,6215172a,reind_6215,0.8406,-5.0
34,top20%,9,ae5b5760,reind_ae5b,0.8384,-5.0
34,top20%,10,f11f0bb5,reind_f11f,0.8276,-5.0
34,top50%,1,366289ca,reind_3662,0.9801,-4.9929
34,top50%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top50%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top50%,4,637c6766,reind_637c,0.9199,-4.9936
34,top50%,5,64527318,reind_6452,0.8505,-4.9931
34,top50%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top50%,7,c6739e51,reind_c673,0.8457,-5.0
34,top50%,8,6215172a,reind_6215,0.8406,-5.0
34,top50%,9,ae5b5760,reind_ae5b,0.8384,-5.0
34,top50%,10,f11f0bb5,reind_f11f,0.8276,-5.0
34,top60%,1,366289ca,reind_3662,0.9801,-4.9929
34,top60%,2,9cd9b29f,reind_9cd9,0.9744,-4.9923
34,top60%,3,5c8683b2,reind_5c86,0.956,-5.0
34,top60%,4,637c6766,reind_637c,0.9199,-4.9936
34,top60%,5,64527318,reind_6452,0.8505,-4.9931
34,top60%,6,a5faab0b,reind_a5fa,0.848,-5.0
34,top60%,7,c6739e51,reind_c673,0.8457,-5.0
34,top60%,8,6215172a,reind_6215,0.8406,-5.0
34,top60%,9,ae5b5760,reind_ae5b,0.8384,-5.0
34,top60%,10,f11f0bb5,reind_f11f,0.8276,-5.0
33,top10%,1,6215172a,reind_6215,0.9866,-5.0
33,top10%,2,366289ca,reind_3662,0.9745,-4.9929
33,top10%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top10%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top10%,5,637c6766,reind_637c,0.9297,-4.9936
33,top10%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top10%,7,64527318,reind_6452,0.8633,-4.9931
33,top10%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top20%,1,6215172a,reind_6215,0.9866,-5.0
33,top20%,2,366289ca,reind_3662,0.9745,-4.9929
33,top20%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top20%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top20%,5,637c6766,reind_637c,0.9297,-4.9936
33,top20%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top20%,7,64527318,reind_6452,0.8633,-4.9931
33,top20%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top20%,9,c190390d,reind_c190,0.8441,-5.0
33,top20%,10,ae5b5760,reind_ae5b,0.8431,-5.0
33,top50%,1,6215172a,reind_6215,0.9866,-5.0
33,top50%,2,366289ca,reind_3662,0.9745,-4.9929
33,top50%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
33,top50%,4,5c8683b2,reind_5c86,0.9634,-5.0
33,top50%,5,637c6766,reind_637c,0.9297,-4.9936
33,top50%,6,a0fcabaf,reind_a0fc,0.9212,-5.0
33,top50%,7,64527318,reind_6452,0.8633,-4.9931
33,top50%,8,a5faab0b,reind_a5fa,0.8496,-5.0
33,top50%,9,c190390d,reind_c190,0.8441,-5.0
33,top50%,10,ae5b5760,reind_ae5b,0.8431,-5.0
33,top60%,1,6215172a,reind_6215,0.9866,-5.0
33,top60%,2,366289ca,reind_3662,0.9745,-4.9929
33,top60%,3,9cd9b29f,reind_9cd9,0.9681,-4.9923
