Date,Price,Open,High,Low,Change %
2021-08-30,1810.17,1817.55,1823.38,1807.28,-0.36
2022-08-30,1723.55,1738.36,1740.93,1720.85,-0.82
2023-08-30,1942.24,1937.48,1949.04,1934.94,0.26
2024-08-30,2503.03,2520.89,2527.07,2494.36,-0.72
2015-09-30,1115.0,1127.46,1128.2,1112.0,-1.11
2016-09-30,1315.96,1320.56,1328.23,1312.83,-0.33
2019-09-30,1472.25,1497.08,1500.5,1464.24,-1.65
2020-09-30,1885.44,1897.81,1902.39,1881.31,-0.65
2021-09-30,1756.66,1726.4,1764.53,1721.67,1.77
2022-09-30,1659.67,1661.13,1675.57,1658.93,-0.04
2024-09-30,2634.49,2658.3,2666.11,2624.78,-0.88
2015-10-30,1142.38,1148.04,1150.47,1139.48,-0.31
2017-10-30,1276.24,1273.59,1279.29,1268.8,0.23
2018-10-30,1223.44,1230.17,1231.45,1220.22,-0.51
2019-10-30,1495.4,1487.6,1496.8,1481.02,0.52
2020-10-30,1877.95,1868.24,1889.85,1864.64,0.58
2023-10-30,1995.88,2004.8,2007.37,1990.5,-0.49
2024-10-30,2786.19,2775.01,2790.09,2770.65,0.4
2015-11-30,1064.42,1057.8,1068.9,1053.1,0.53
2016-11-30,1173.11,1188.72,1195.36,1170.75,-1.29
2017-11-30,1274.76,1283.88,1285.7,1270.51,-0.69
2018-11-30,1221.97,1223.97,1225.65,1216.24,-0.17
2020-11-30,1777.02,1789.05,1789.99,1764.69,-0.62
2021-11-30,1773.78,1785.34,1809.38,1769.43,-0.63
2022-11-30,1768.45,1749.82,1770.39,1744.41,1.07
2023-11-30,2035.75,2044.8,2047.59,2031.84,-0.43
2015-12-30,1061.45,1069.38,1072.85,1059.55,-0.71
2016-12-30,1151.85,1158.68,1163.53,1149.49,-0.56
2019-12-30,1515.22,1511.49,1516.3,1509.96,0.3
2020-12-30,1893.37,1878.34,1894.06,1875.66,0.82
2021-12-30,1815.01,1803.99,1817.44,1795.78,0.63
2022-12-30,1824.4,1815.14,1826.73,1809.84,0.52
2024-12-30,2605.39,2620.3,2628.61,2595.9,-0.56
2017-01-31,1210.63,1195.38,1215.49,1193.83,1.28
2018-01-31,1345.1,1338.87,1347.93,1332.7,0.49
2019-01-31,1320.94,1320.18,1326.68,1317.55,0.08
2020-01-31,1590.2,1574.27,1590.2,1570.84,1.02
2022-01-31,1796.47,1791.19,1800.23,1785.03,0.3
2023-01-31,1927.88,1922.82,1931.15,1900.74,0.28
2024-01-31,2037.19,2036.58,2056.08,2031.0,0.05
2025-01-31,2801.0,2794.04,2817.57,2790.78,0.25
2015-03-31,1183.5,1185.4,1191.2,1178.45,-0.23
2016-03-31,1232.7,1226.06,1240.05,1224.81,0.64
2017-03-31,1249.13,1242.83,1251.11,1240.05,0.47
2020-03-31,1571.31,1612.25,1623.52,1562.25,-3.2
2021-03-31,1707.01,1685.59,1715.28,1677.93,1.32
2022-03-31,1937.23,1932.8,1949.92,1918.98,0.22
2023-03-31,1967.9,1978.62,1987.84,1966.89,-0.62
2025-03-31,3120.54,3086.54,3128.29,3076.62,1.18
2016-05-31,1215.24,1206.45,1218.86,1206.2,0.8
2017-05-31,1268.59,1263.05,1274.24,1259.26,0.43
2018-05-31,1298.32,1301.51,1306.86,1297.9,-0.24
2019-05-31,1305.65,1288.35,1307.04,1288.09,1.3
2021-05-31,1906.36,1903.69,1911.13,1901.56,0.2
2022-05-31,1837.09,1856.4,1857.69,1834.9,-1.03
2023-05-31,1962.3,1959.3,1975.34,1953.67,0.16
2024-05-31,2326.97,2345.07,2353.24,2323.96,-0.68
2015-07-31,1095.65,1088.66,1103.38,1079.75,0.61
2017-07-31,1269.55,1270.16,1271.48,1265.93,0.02
2018-07-31,1223.83,1221.73,1228.74,1214.82,0.17
2019-07-31,1413.8,1430.91,1432.94,1411.35,-1.19
2020-07-31,1975.89,1960.96,1981.11,1955.99,0.79
2023-07-31,1964.19,1959.49,1972.44,1951.0,0.25
2024-07-31,2448.1,2410.09,2451.0,2410.17,1.65
2015-08-31,1134.5,1133.25,1136.8,1125.96,0.05
2016-08-31,1308.95,1311.25,1316.54,1305.41,-0.17
2017-08-31,1322.07,1308.8,1324.11,1300.82,1.02
2018-08-31,1201.09,1200.34,1209.17,1198.43,0.1
2020-08-31,1970.15,1965.39,1976.53,1954.55,0.27
2021-08-31,1813.43,1810.26,1819.43,1801.47,0.18
2022-08-31,1710.7,1723.83,1726.86,1709.1,-0.75
2023-08-31,1939.74,1942.61,1948.19,1938.86,-0.13
2016-10-31,1277.38,1278.01,1279.64,1270.89,0.08
2017-10-31,1271.58,1276.29,1278.36,1268.01,-0.37
2018-10-31,1214.54,1223.0,1223.7,1211.92,-0.73
2019-10-31,1513.36,1496.39,1514.39,1493.64,1.2
2022-10-31,1633.12,1643.69,1645.8,1631.77,-0.53
2023-10-31,1982.7,1996.0,2007.8,1978.9,-0.66
2024-10-31,2743.8,2787.75,2790.41,2731.65,-1.52
2015-12-31,1061.3,1061.38,1063.68,1058.38,-0.01
2018-12-31,1282.82,1280.08,1284.18,1277.09,0.16
2019-12-31,1517.39,1515.51,1525.59,1514.79,0.14
2020-12-31,1896.49,1893.55,1901.26,1884.77,0.16
2021-12-31,1828.39,1815.44,1830.58,1814.15,0.74
2024-12-31,2623.81,2606.13,2627.85,2602.5,0.71
